id,user_id,order_date,total_amount
151,33,2023-10-23 03:13:51.751715,69.52
152,64,2024-01-18 03:13:51.751975,324.19
153,21,2024-02-12 03:13:51.753403,253.98
154,47,2023-11-01 03:13:51.753785,397.01
155,14,2023-11-11 03:13:51.754764,466.8
156,68,2024-04-07 03:13:51.756142,289.74
157,98,2024-07-07 03:13:51.757165,391.23
158,44,2023-10-25 03:13:51.758145,413.07
159,94,2023-10-11 03:13:51.759395,298.51
160,61,2023-12-06 03:13:51.760247,310.01
161,86,2024-01-13 03:13:51.761004,193.54
162,93,2024-03-10 03:13:51.761310,735.02
163,33,2024-06-15 03:13:51.762766,34.74
164,74,2023-09-02 03:13:51.763069,391.96
165,91,2024-06-15 03:13:51.764319,382.13
166,41,2023-10-13 03:13:51.765858,301.35
167,57,2023-11-23 03:13:51.766598,71.9
168,54,2023-08-21 03:13:51.766880,680.16
169,94,2023-07-23 03:13:51.768526,32.84
170,21,2024-03-06 03:13:51.768823,370.31
171,73,2023-08-19 03:13:51.770141,454.35
172,9,2024-04-12 03:13:51.770956,81.64
173,35,2024-06-08 03:13:51.771234,49.26
174,66,2024-04-05 03:13:51.771620,342.72
175,27,2023-11-17 03:13:51.773466,120.07
176,42,2023-09-09 03:13:51.774154,445.02
177,98,2024-01-20 03:13:51.775404,348.99
178,55,2023-07-20 03:13:51.776466,508.2
179,28,2024-05-17 03:13:51.777709,712.43
180,44,2024-07-08 03:13:51.779052,198.09
181,81,2024-05-15 03:13:51.779816,340.28
182,40,2024-04-03 03:13:51.781091,323.31
183,47,2024-05-23 03:13:51.781881,530.68
184,54,2024-07-06 03:13:51.783184,571.12
185,26,2024-02-18 03:13:51.784277,56.81
186,78,2023-11-06 03:13:51.784579,638.45
187,94,2023-10-01 03:13:51.785691,570.44
188,14,2023-12-14 03:13:51.787004,230.41
189,12,2023-12-10 03:13:51.787844,216.09
190,41,2024-06-17 03:13:51.788141,173.56
191,99,2024-03-01 03:13:51.788752,61.86
192,88,2024-04-05 03:13:51.789034,286.62
193,23,2023-10-03 03:13:51.789561,140.22
194,5,2024-03-10 03:13:51.789876,515.2
195,16,2023-07-13 03:13:51.791239,488.65
196,100,2023-12-06 03:13:51.792323,340.85
197,38,2024-05-04 03:13:51.792840,238.82
198,45,2023-09-30 03:13:51.793906,238.5
199,41,2024-04-12 03:13:51.794204,71.29
200,42,2024-02-07 03:13:51.794511,103.95
201,59,2023-08-03 03:13:51.795051,865.37
202,91,2024-03-22 03:13:51.796569,429.29
203,85,2023-07-23 03:13:51.797504,348.28
204,63,2024-07-04 03:13:51.798466,306.74
205,6,2024-04-25 03:13:51.799866,175.31
206,86,2023-08-29 03:13:51.800545,305.25
207,19,2024-05-19 03:13:51.802146,54.41
208,88,2023-10-28 03:13:51.802506,496.4
209,22,2024-06-28 03:13:51.804272,198.04
210,40,2024-03-12 03:13:51.804621,505.41
211,79,2023-09-24 03:13:51.805776,142.23
212,14,2023-09-13 03:13:51.806138,684.0
213,100,2023-12-11 03:13:51.807611,938.5
214,26,2024-04-09 03:13:51.808942,628.15
215,76,2023-08-12 03:13:51.810147,326.88
216,2,2023-09-11 03:13:51.811228,191.65
217,31,2023-07-24 03:13:51.812109,364.89
218,96,2024-04-26 03:13:51.813570,113.39
219,28,2023-11-17 03:13:51.814422,136.15
220,71,2024-01-15 03:13:51.816193,223.76
221,9,2023-10-02 03:13:51.817528,687.59
222,63,2024-02-10 03:13:51.819648,144.06
223,18,2023-12-03 03:13:51.820030,82.24
224,44,2023-11-13 03:13:51.820530,127.03
225,5,2023-09-26 03:13:51.821215,145.24
226,7,2024-01-18 03:13:51.821767,45.43
227,82,2023-08-06 03:13:51.822112,134.4
228,26,2023-07-16 03:13:51.822370,192.31
229,77,2023-10-30 03:13:51.822862,526.45
230,20,2023-11-03 03:13:51.824868,298.14
231,55,2024-07-04 03:13:51.826267,296.19
232,55,2024-05-20 03:13:51.827574,341.68
233,34,2024-07-07 03:13:51.829095,353.77
234,98,2023-11-30 03:13:51.830922,585.69
235,57,2023-09-08 03:13:51.832684,63.39
236,52,2023-11-23 03:13:51.833121,292.05
237,13,2024-01-07 03:13:51.833912,102.49
238,31,2023-07-23 03:13:51.834554,754.26
239,5,2023-08-09 03:13:51.836381,220.78
240,43,2023-11-05 03:13:51.837742,130.14
241,84,2024-06-27 03:13:51.838472,111.5
242,17,2023-10-30 03:13:51.838804,561.89
243,83,2024-06-05 03:13:51.840665,57.33
244,8,2024-01-16 03:13:51.841007,547.2
245,33,2023-12-31 03:13:51.842585,512.66
246,22,2024-03-03 03:13:51.844269,301.91
247,41,2024-06-19 03:13:51.845564,692.55
248,61,2023-12-02 03:13:51.847027,89.19
249,37,2024-05-13 03:13:51.847870,512.38
250,29,2024-06-01 03:13:51.848888,208.56
251,54,2024-03-24 03:13:51.849163,512.79
252,82,2023-09-14 03:13:51.850183,521.53
253,13,2023-12-30 03:13:51.851884,163.49
254,9,2024-04-29 03:13:51.852762,70.3
255,99,2023-10-27 03:13:51.853052,516.23
256,53,2024-05-08 03:13:51.854578,97.21
257,90,2024-04-05 03:13:51.855136,340.08
258,52,2024-03-23 03:13:51.856551,289.61
259,30,2024-01-07 03:13:51.857381,97.58
260,79,2024-02-21 03:13:51.857894,286.47
261,43,2023-10-07 03:13:51.858456,540.75
262,38,2024-05-16 03:13:51.859861,244.1
263,74,2023-12-19 03:13:51.860666,203.87
264,76,2024-06-18 03:13:51.861178,264.14
265,51,2024-04-27 03:13:51.862276,442.47
266,9,2024-06-22 03:13:51.863956,226.31
267,16,2024-05-10 03:13:51.864536,1039.14
268,49,2024-06-10 03:13:51.866302,162.22
269,32,2024-02-09 03:13:51.866834,443.37
270,99,2024-01-07 03:13:51.867983,167.25
271,74,2024-06-19 03:13:51.868264,468.54
272,36,2024-05-06 03:13:51.869005,36.18
273,65,2023-09-18 03:13:51.869261,505.24
274,52,2024-03-24 03:13:51.870289,354.98
275,35,2024-03-04 03:13:51.871860,118.95
276,69,2024-05-15 03:13:51.872393,228.52
277,89,2024-03-19 03:13:51.872939,174.77
278,11,2023-10-13 03:13:51.873654,441.74
279,43,2024-05-09 03:13:51.874524,194.31
280,12,2023-11-18 03:13:51.875443,314.58
281,21,2023-08-20 03:13:51.876462,124.36
282,99,2023-11-22 03:13:51.877347,179.89
283,4,2024-05-29 03:13:51.877930,447.72
284,84,2024-02-20 03:13:51.879286,12.81
285,82,2023-10-09 03:13:51.879653,198.04
286,22,2024-01-25 03:13:51.879962,311.96
287,53,2023-08-28 03:13:51.880849,226.95
288,66,2024-05-18 03:13:51.881531,269.5
289,69,2023-10-23 03:13:51.882197,48.7
290,11,2023-11-18 03:13:51.882574,280.59
291,31,2023-12-28 03:13:51.882913,77.2
292,43,2023-08-28 03:13:51.883270,161.81
293,18,2024-01-12 03:13:51.884341,12.81
294,5,2024-04-18 03:13:51.884643,338.45
295,59,2024-04-18 03:13:51.885845,265.85
296,46,2024-01-27 03:13:51.886502,90.86
297,4,2023-07-23 03:13:51.886882,156.01
298,73,2023-10-01 03:13:51.887506,315.24
299,28,2023-10-23 03:13:51.888490,274.54
300,66,2024-07-05 03:13:51.889318,32.02
